id,name,description,ruling,reason,variations
acacia-gum,Acacia Gum,"A natural gum made of hardened sap from acacia trees. It is used as a stabilizer, thickener, and emulsifier in foods.",halal,Acacia gum is a natural product derived from plant sap and is considered halal.,"['acacia-gum', 'acacia-gum-gum-arabic', 'gum arabic', 'e414']"
4-hexylresorcinol,4-Hexylresorcinol,An ingredient used as an antioxidant to prevent discoloration in seafood and other food products.,halal,4-Hexylresorcinol is a synthetic compound and is considered halal unless it contains non-halal components during its production.,['4-hexylresorcinol']
acetic-acid-esters-of-mono-and-diglycerides,Acetic Acid Esters of Mono- and Diglycerides,"Emulsifiers made from edible fats and acetic acid, used to improve the texture and stability of food products.",uncertain,"The halal status depends on the source of the mono- and diglycerides. If they are derived from halal-slaughtered animals or vegetable sources, it is halal. Otherwise, it is haram. Due to the uncertainty of the source, it is considered uncertain.","['acetic-acid-esters-of-mono-and-diglycerides', 'acetic-esters-of-mono-and-diglycerides', 'acetic-acid-esters-of-mono-and-diglycerides-of-fatty-acids', 'e472a']"
acesulfame-potassium,Acesulfame Potassium,A zero-calorie artificial sweetener used in various food and beverage products.,halal,Acesulfame potassium is a synthetic sweetener and is considered halal unless non-halal substances are used in its production.,"['acesulfame-potassium', 'acesulfame-k', 'e950']"
acetone-peroxide,Acetone Peroxide,An organic peroxide and a primary high explosive. It is a dangerous compound and not intentionally added to food.,uncertain,Acetone peroxide is not a food ingredient. Its presence in food would be accidental and a safety concern rather than a halal/haram issue.,['acetone-peroxide']
acetic-acid,Acetic Acid,"A clear, colorless organic acid commonly known as vinegar when in solution with water. It is used as a preservative and flavoring agent.",halal,"Acetic acid is generally considered halal as it is produced through the fermentation of ethanol, which can be derived from halal sources.","['acetic-acid', 'ethanoic acid', 'e260']"
acetylated-oxidised-starch,Acetylated Oxidised Starch,A modified starch used as a food additive for thickening and stabilizing.,halal,"If the starch is derived from a halal source (such as corn, wheat, rice, or tapioca) and the acetylation and oxidation processes do not involve any haram substances, then it is considered halal.","['acetylated oxidised starch', 'e1451']"
active-dry-yeast,Active Dry Yeast,A form of yeast used as a leavening agent in baking.,halal,Yeast is a microorganism and is considered halal as long as it is not cultivated in a haram environment or mixed with haram substances.,"['active dry yeast', 'yeast']"
actinidin,Actinidin,"A cysteine protease enzyme found in kiwifruit, used as a meat tenderizer and in food processing.",halal,"Actinidin is derived from kiwifruit, which is a halal source. As long as the extraction and processing do not involve any haram substances, it is considered halal.",['actinidin']
acetyl-propionyl,Acetyl Propionyl,"A flavoring agent used in food products to impart a sweet, buttery flavor.",uncertain,"The halal status of acetyl propionyl is uncertain due to limited information about its source and manufacturing process. Without detailed information on the ingredients and processes used, it is difficult to determine whether it is halal.","['acetyl propionyl', '2,3-pentanedione']"
acetylated-distarch-adipate,Acetylated Distarch Adipate,A modified starch used as a food additive for thickening and stabilizing.,halal,"If the starch is derived from a halal source (such as corn, wheat, rice, or tapioca) and the acetylation and adipate processes do not involve any haram substances, then it is considered halal.","['acetylated distarch adipate', 'e1422']"
acorn-flour,Acorn Flour,"Flour made from ground acorns, used in some traditional cuisines.",halal,"Acorns are a plant-based source, and flour made from them is considered halal as long as no haram substances are added during processing.",['acorn flour']
acetylated-starch,Acetylated Starch,A modified starch used as a food additive for thickening and stabilizing.,halal,"If the starch is derived from a halal source (such as corn, wheat, rice, or tapioca) and the acetylation process does not involve any haram substances, then it is considered halal.","['acetylated starch', 'e1420']"
acidity-regulator,Acidity Regulator,A substance added to food to control or change its acidity or alkalinity.,uncertain,"Acidity regulators can be various substances, and their halal status depends on their source and processing. Some acidity regulators are halal, while others may be haram or questionable. Without knowing the specific substance used as the acidity regulator, it is difficult to determine its halal status.",['acidity regulator']
ada,Ada,"It could refer to several things depending on the context. Without more context, it's difficult to determine its halal status.",uncertain,"The term 'ada' is ambiguous and requires more context to determine its halal status. It could refer to a food ingredient, a dish, or an abbreviation. More information is needed to provide an accurate ruling.",['ada']
acid-whey,Acid Whey,"The liquid byproduct of cheese or casein production, specifically from acid-set processes.",halal,"Acid whey is a byproduct of cheese or casein production. As long as the cheese or casein is produced using halal methods and ingredients, the resulting acid whey is also considered halal.",['acid whey']
adzuki-bean-flour,Adzuki Bean Flour,"Flour made from ground adzuki beans, a type of red bean.",halal,"Adzuki beans are inherently halal, and the process of making flour from them does not introduce any haram substances.","['adzuki bean flour', 'adzuki bean powder', 'red bean flour']"
agave-syrup,Agave Syrup,A sweetener derived from the agave plant.,halal,Agave syrup is extracted from the agave plant and processed without the use of any haram substances.,"['agave syrup', 'agave nectar']"
albumin,Albumin,"A protein found in eggs and milk, often used as a binding agent or emulsifier.",uncertain,"If the albumin is derived from egg, it is halal. If it is derived from bovine source, it is halal only if the animal is slaughtered according to Islamic guidelines.","['albumin', 'albumen']"
adipic-acid,Adipic Acid,An organic compound used as a food additive for flavoring or as a buffering and gelling agent.,halal,Adipic acid is synthetically produced and does not contain any animal-derived ingredients or haram substances.,"['adipic acid', 'E355']"
albumin-powder,Albumin Powder,"A powdered form of albumin, a protein found in eggs and milk, often used as a binding agent or emulsifier.",uncertain,"If the albumin is derived from egg, it is halal. If it is derived from bovine source, it is halal only if the animal is slaughtered according to Islamic guidelines.",['albumin powder']
advantame,Advantame,A non-nutritive artificial sweetener.,halal,Advantame is synthetically produced and does not contain any animal-derived ingredients or haram substances.,"['advantame', 'E969']"
algin,Algin,"A polysaccharide extracted from brown algae, used as a thickening or gelling agent.",halal,Algin is derived from seaweed and does not involve any haram substances.,"['algin', 'alginic acid', 'E400']"
almond-flour,Almond Flour,Flour made from ground almonds.,halal,"Almond flour is derived solely from almonds, which are considered halal. The production process typically involves grinding almonds, which does not introduce any haram substances.",['almond flour']
alitame,Alitame,A high-intensity artificial sweetener.,uncertain,The halal status of alitame is uncertain due to limited information about its production process and potential use of non-halal ingredients or processes. Further investigation into the specific manufacturing details is needed to determine its permissibility.,['alitame']
almond-extract,Almond Extract,A flavoring extract made from almond oil and alcohol.,uncertain,"The permissibility of almond extract depends on the source and type of alcohol used in its production. If the alcohol is derived from halal sources and is not intended for intoxication, it may be considered halal. However, if the alcohol is derived from haram sources or is used as an intoxicant, the extract would be considered haram.",['almond extract']
alginate,Alginate,"A polysaccharide extracted from brown algae, used as a thickening and gelling agent.",halal,"Alginate is derived from brown algae and does not involve any haram substances in its production. Therefore, it is considered halal.",['alginate']
allura-red,Allura Red,A synthetic red food coloring.,uncertain,"The halal status of Allura Red is uncertain due to conflicting opinions among scholars. Some consider it permissible as a synthetic food coloring if it does not contain any animal-derived ingredients, while others avoid all artificial food colorings due to doubts about their origin and processing.","['allura red', 'allura red ac', 'E129', 'FD&C Red No. 40']"
allulose,Allulose,"A rare sugar found in small quantities in certain fruits and plants, used as a low-calorie sweetener.",halal,"Allulose is a naturally occurring sugar and its production typically does not involve any haram substances. Therefore, it is considered halal.",['allulose']
all-purpose-flour,All-Purpose Flour,A versatile wheat flour used in various baking and cooking applications.,halal,"All-purpose flour is made from wheat and does not contain any haram ingredients. The milling process does not introduce any non-halal substances, making it halal.","['all-purpose flour', 'allpurpose flour', 'wheat flour']"
almond-meal,Almond Meal,A coarser grind of almonds compared to almond flour.,halal,"Almond meal is simply ground almonds, which are considered halal. The production process does not involve any haram substances.",['almond meal']
alpha-tocopherol,Alpha-Tocopherol,"A form of vitamin E, acting as an antioxidant.",halal,"Alpha-tocopherol is a type of vitamin E, typically derived from vegetable oils. As such, it is generally considered halal unless produced using haram substances.","['alpha-tocopherol', 'alphatocopherol', 'vitamin e']"
aluminium-phosphates,Aluminium Phosphates,"Used as a food additive, often as a leavening agent or acidity regulator.",halal,Aluminium phosphates are generally considered halal as they are mineral-based compounds and do not contain any haram substances.,['aluminium phosphates']
aluminium-potassium-sulphate,Aluminium Potassium Sulphate,A chemical compound used in food processing as a firming agent.,halal,Aluminium potassium sulphate is a mineral salt and is considered halal.,"['aluminium potassium sulphate', 'aluminum potassium sulfate', 'alum']"
aluminium-sodium-sulphate,Aluminium Sodium Sulphate,A chemical compound used in food processing as a firming agent.,halal,Aluminium sodium sulphate is a mineral salt and is considered halal.,"['aluminium sodium sulphate', 'aluminum sodium sulfate']"
aluminium-sulphate,Aluminium Sulphate,"A chemical compound used in food processing, often as a firming agent or to control pH.",halal,Aluminium sulphate is a mineral salt and is considered halal.,"['aluminium sulphate', 'aluminum sulfate']"
amaranth,Amaranth,A red food dye.,halal,Amaranth is a synthetic food coloring. The majority of Islamic scholars consider synthetic food colorings permissible unless they contain ingredients of animal origin or are produced using haram substances.,"['amaranth', 'E123', 'FD&C Red No. 2']"
aluminium,Aluminium,A metallic element.,halal,Aluminium is a basic metallic element and is considered halal.,"['aluminium', 'aluminum']"
aluminium-ammonium-sulphate,Aluminium Ammonium Sulphate,A chemical compound used in food processing as a firming agent.,halal,Aluminium ammonium sulphate is a mineral salt and is considered halal.,"['aluminium ammonium sulphate', 'aluminum ammonium sulfate']"
aluminium-sulphates,Aluminium Sulphates,"A group of chemical compounds used in food processing, often as firming agents or to control pH.",halal,Aluminium sulphates are mineral salts and are considered halal.,"['aluminium sulphates', 'aluminum sulfates']"
amaranth-flour,Amaranth Flour,"Flour made from amaranth seeds, used in baking and cooking.",halal,"Amaranth flour is derived from amaranth seeds, which are naturally halal. Therefore, amaranth flour is halal.",['amaranth flour']
amino-acid,Amino Acid,"Amino acids are the building blocks of proteins, essential for various bodily functions.",uncertain,"The halal status depends on the source of the amino acid. If derived from plant or halal animal sources, it is halal. If from non-halal animal sources, it is haram. Without knowing the source, it is uncertain.","['amino acid', 'amino acids']"
